,Payment_Date,Scenario,BSV_ind,tot_Income,living_exp,cum_net_income,Sched_Payment,Tot_Payment,Curr_Balance,Cum_Principle,Cum_Interest,Cum_tot_Payment,Real_NET,tot_MonthlyExp
0,2042-03-01,,0,7701.09,3650.0,1014313.81,,,,,,,1014313.81,3650.0
1,2042-04-01,,0,7701.09,3650.0,1018364.89,,,,,,,1018364.89,3650.0
2,2042-05-01,,0,7701.09,3650.0,1022415.98,,,,,,,1022415.98,3650.0
3,2042-06-01,,0,7701.09,3650.0,1026467.07,,,,,,,1026467.07,3650.0
4,2042-07-01,,0,7701.09,3650.0,1030518.15,,,,,,,1030518.15,3650.0
5,2042-08-01,,0,7701.09,3650.0,1034569.24,,,,,,,1034569.24,3650.0
6,2042-09-01,,0,10701.09,3650.0,1041620.33,,,,,,,1041620.33,3650.0
7,2042-10-01,,0,7701.09,3650.0,1045671.41,,,,,,,1045671.41,3650.0
8,2042-11-01,,0,7701.09,3650.0,1049722.5,,,,,,,1049722.5,3650.0
9,2042-12-01,,0,7701.09,3650.0,1053773.58,,,,,,,1053773.58,3650.0
10,2043-01-01,,0,10298.19,3650.0,1060421.77,,,,,,,1060421.77,3650.0
11,2043-02-01,,0,7798.19,3650.0,1064569.96,,,,,,,1064569.96,3650.0
12,2043-03-01,,0,7798.19,3650.0,1068718.15,,,,,,,1068718.15,3650.0
13,2043-04-01,,0,7798.19,3650.0,1072866.34,,,,,,,1072866.34,3650.0
14,2043-05-01,,0,7798.19,3650.0,1077014.53,,,,,,,1077014.53,3650.0
15,2043-06-01,,0,7798.19,3650.0,1081162.72,,,,,,,1081162.72,3650.0
16,2041-02-01,,1,7605.3,3650.0,919607.53,,,,,,,919607.53,3650.0
17,2041-03-01,,1,7605.3,3650.0,923562.83,,,,,,,923562.83,3650.0
18,2041-04-01,,1,7605.3,3650.0,927518.13,,,,,,,927518.13,3650.0
19,2041-05-01,,1,7605.3,3650.0,931473.43,,,,,,,931473.43,3650.0
20,2041-06-01,,1,7605.3,3650.0,935428.74,,,,,,,935428.74,3650.0
21,2041-07-01,,1,7605.3,3650.0,939384.04,,,,,,,939384.04,3650.0
22,2041-08-01,,1,7605.3,3650.0,943339.34,,,,,,,943339.34,3650.0
23,2041-09-01,,1,10605.3,3650.0,950294.64,,,,,,,950294.64,3650.0
24,2041-10-01,,1,7605.3,3650.0,954249.95,,,,,,,954249.95,3650.0
25,2041-11-01,,1,7605.3,3650.0,958205.25,,,,,,,958205.25,3650.0
26,2041-12-01,,1,7605.3,3650.0,962160.55,,,,,,,962160.55,3650.0
27,2042-01-01,,1,10201.09,3650.0,968711.64,,,,,,,968711.64,3650.0
28,2042-02-01,,1,7701.09,3650.0,972762.72,,,,,,,972762.72,3650.0
29,2042-03-01,,1,7701.09,3650.0,976813.81,,,,,,,976813.81,3650.0
30,2042-04-01,,1,7701.09,3650.0,980864.89,,,,,,,980864.89,3650.0
31,2042-05-01,,1,7701.09,3650.0,984915.98,,,,,,,984915.98,3650.0
32,2042-06-01,,1,7701.09,3650.0,988967.07,,,,,,,988967.07,3650.0
33,2042-07-01,,1,7701.09,3650.0,993018.15,,,,,,,993018.15,3650.0
34,2042-08-01,,1,7701.09,3650.0,997069.24,,,,,,,997069.24,3650.0
35,2042-09-01,,1,10701.09,3650.0,1004120.33,,,,,,,1004120.33,3650.0
36,2042-10-01,,1,7701.09,3650.0,1008171.41,,,,,,,1008171.41,3650.0
37,2042-11-01,,1,7701.09,3650.0,1012222.5,,,,,,,1012222.5,3650.0
38,2042-12-01,,1,7701.09,3650.0,1016273.58,,,,,,,1016273.58,3650.0
39,2043-01-01,,1,10298.19,3650.0,1022921.77,,,,,,,1022921.77,3650.0
40,2043-02-01,,1,7798.19,3650.0,1027069.96,,,,,,,1027069.96,3650.0
41,2043-03-01,,1,7798.19,3650.0,1031218.15,,,,,,,1031218.15,3650.0
42,2043-04-01,,1,7798.19,3650.0,1035366.34,,,,,,,1035366.34,3650.0
43,2043-05-01,,1,7798.19,3650.0,1039514.53,,,,,,,1039514.53,3650.0
44,2043-06-01,,1,7798.19,3650.0,1043662.72,,,,,,,1043662.72,3650.0
45,2021-07-01,ZB10_r_0.0%,0,5964.0,2600.0,3364.0,1937.81,2537.81,372181.61,2144.39,393.42,2537.81,826.19,5137.81
46,2021-08-01,ZB10_r_0.0%,0,5964.0,2600.0,6728.0,1937.81,2537.81,370033.15,4292.84,782.78,5075.62,1652.38,5137.81
47,2021-09-01,ZB10_r_0.0%,0,8964.0,2600.0,13092.0,1937.81,2537.81,367880.63,6445.35,1168.08,7613.43,5478.57,5137.81
48,2021-10-01,ZB10_r_0.0%,0,5964.0,2600.0,16456.0,1937.81,2537.81,365724.05,8601.93,1549.31,10151.24,6304.76,5137.81
49,2021-11-01,ZB10_r_0.0%,0,5964.0,2600.0,19820.0,1937.81,2537.81,363563.38,10762.6,1926.45,12689.05,7130.95,5137.81
50,2021-12-01,ZB10_r_0.0%,0,5964.0,2600.0,23184.0,1937.81,2537.81,361398.63,12927.36,2299.5,15226.86,7957.14,5137.81
51,2022-01-01,ZB10_r_0.0%,0,8464.0,2652.0,28996.0,1937.81,6537.81,355229.76,19096.22,2668.45,21764.67,7231.33,9189.81
52,2022-02-01,ZB10_r_0.0%,0,5964.0,2652.0,32308.0,1937.81,2537.81,353046.63,21279.35,3023.13,24302.48,8005.52,5189.81
53,2022-03-01,ZB10_r_0.0%,0,5964.0,2652.0,35620.0,1937.81,2537.81,350859.35,23466.63,3373.66,26840.29,8779.71,5189.81
54,2022-04-01,ZB10_r_0.0%,0,5964.0,2652.0,38932.0,1937.81,2537.81,348667.91,25658.06,3720.04,29378.1,9553.9,5189.81
55,2022-05-01,ZB10_r_0.0%,0,5964.0,2652.0,42244.0,1937.81,2537.81,346472.33,27853.66,4062.25,31915.91,10328.09,5189.81
56,2022-06-01,ZB10_r_0.0%,0,5964.0,2652.0,45556.0,1937.81,2537.81,344272.55,30053.43,4400.29,34453.72,11102.28,5189.81
57,2022-07-01,ZB10_r_0.0%,0,5333.0,2652.0,48237.0,1937.81,2537.81,342068.6,32257.38,4734.15,36991.53,11245.47,5189.81
58,2022-08-01,ZB10_r_0.0%,0,5333.0,2652.0,50918.0,1937.81,2537.81,339860.45,34465.53,5063.81,39529.34,11388.66,5189.81
59,2022-09-01,ZB10_r_0.0%,0,8333.0,2652.0,56599.0,1937.81,2537.81,337648.11,36677.88,5389.27,42067.15,14531.85,5189.81
60,2022-10-01,ZB10_r_0.0%,0,5333.0,2652.0,59280.0,1937.81,2537.81,335431.55,38894.44,5710.52,44604.96,14675.04,5189.81
61,2022-11-01,ZB10_r_0.0%,0,5333.0,2652.0,61961.0,1937.81,2537.81,333210.77,41115.22,6027.55,47142.77,14818.23,5189.81
62,2022-12-01,ZB10_r_0.0%,0,5333.0,2652.0,64642.0,1937.81,2537.81,330985.76,43340.23,6340.35,49680.58,14961.42,5189.81
63,2023-01-01,ZB10_r_0.0%,0,7833.0,2705.04,69769.96,1937.81,6537.81,324756.51,49569.48,6648.91,56218.39,13551.57,9242.85
64,2023-02-01,ZB10_r_0.0%,0,5333.0,2705.04,72397.92,1937.81,2537.81,322512.84,51813.15,6943.05,58756.2,13641.72,5242.85
65,2023-03-01,ZB10_r_0.0%,0,5333.0,2705.04,75025.88,1937.81,2537.81,320264.89,54061.11,7232.9,61294.01,13731.87,5242.85
